fiscal_code;final_rank;evaluation_date;is_consolidated
01479990937;3;01/07/2019;False
01480000932;8;01/07/2016;False
01480000932;8;01/07/2017;False
01480000932;8;01/07/2018;False
01480000932;8;01/07/2019;False
01480070935;5;01/07/2016;False
01480070935;5;01/07/2017;False
01480070935;5;01/07/2018;False
01480070935;5;01/07/2019;False
01480180932;4;01/07/2016;False
01480180932;6;01/07/2017;False
01480180932;6;01/07/2018;False
01480180932;6;01/07/2019;False
01480230935;1;01/07/2016;False
01480230935;1;01/07/2017;False
01480230935;1;01/07/2018;False
01480230935;1;01/07/2019;False
01480360930;6;01/07/2016;False
01480360930;7;01/07/2017;False
01480360930;8;01/07/2018;False
01480360930;8;01/07/2019;False
01480420932;1;01/07/2016;False
01480420932;1;01/07/2017;False
01480420932;1;01/07/2018;False
01480420932;1;01/07/2019;False
01480570934;3;01/07/2016;False
01480570934;3;01/07/2017;False
01480570934;3;01/07/2018;False
01480570934;1;01/07/2019;False
01480640935;1;01/07/2016;False
01480640935;1;01/07/2017;False
01480640935;1;01/07/2018;False
01480640935;1;01/07/2019;False
01480660933;2;01/07/2016;False
01480660933;2;01/07/2017;False
01480660933;1;01/07/2018;False
01480660933;1;01/07/2019;False
01480670932;7;01/07/2016;False
01480670932;7;01/07/2017;False
01480670932;7;01/07/2018;False
01480670932;8;01/07/2019;False
01480700937;7;01/07/2016;False
01480700937;8;01/07/2017;False
01480700937;8;01/07/2018;False
01480700937;8;01/07/2019;False
01481110938;1;01/07/2016;False
01481110938;1;01/07/2017;False
01481110938;1;01/07/2018;False
01481110938;1;01/07/2019;False
01481250932;3;01/07/2016;False
01481250932;2;01/07/2017;False
01481250932;2;01/07/2018;False
01481250932;2;01/07/2019;False
01481330932;1;01/07/2016;False
01481330932;1;01/07/2017;False
01481330932;1;01/07/2018;False
01481330932;1;01/07/2019;False
01481370938;6;01/07/2016;False
01481370938;7;01/07/2017;False
01481370938;6;01/07/2018;False
01481370938;6;01/07/2019;False
01481420931;3;01/07/2016;False
01481420931;4;01/07/2017;False
01481420931;4;01/07/2018;False
01481420931;4;01/07/2019;False
01481480992;3;01/07/2016;False
01481480992;4;01/07/2017;False
01481480992;5;01/07/2018;False
01481480992;5;01/07/2019;False
01481590931;5;01/07/2016;False
01481590931;3;01/07/2017;False
01481590931;6;01/07/2018;False
01481590931;5;01/07/2019;False
01481810933;8;01/07/2016;False
01481810933;8;01/07/2017;False
01481810933;8;01/07/2018;False
01481810933;8;01/07/2019;False
01482070933;9;01/07/2016;False
01482070933;9;01/07/2017;False
01482070933;10;01/07/2018;False
01482070933;10;01/07/2019;False
01482100938;6;01/07/2016;False
01482100938;7;01/07/2017;False
01482100938;7;01/07/2018;False
01482100938;4;01/07/2019;False
01482240932;5;01/07/2016;False
01482240932;7;01/07/2017;False
01482240932;5;01/07/2018;False
01482240932;7;01/07/2019;False
01482640289;6;01/07/2016;False
01482640289;6;01/07/2017;False
01482640289;6;01/07/2018;False
01482640289;6;01/07/2019;False
01482670302;5;01/07/2016;False
01482670302;4;01/07/2017;False
01482670302;6;01/07/2018;False
01482670302;6;01/07/2019;False
01482730932;7;01/07/2016;False
01482730932;5;01/07/2017;False
01482730932;8;01/07/2018;False
01482730932;8;01/07/2019;False
01482800305;1;01/07/2016;False
01482800305;1;01/07/2017;False
01482800305;1;01/07/2018;False
01482800305;1;01/07/2019;False
01482840301;6;01/07/2016;False
01482840301;3;01/07/2017;False
01482840301;3;01/07/2018;False
01482840301;5;01/07/2019;False
01483370936;0;01/07/2016;False
01483370936;0;01/07/2017;False
01483370936;0;01/07/2018;False
01483370936;0;01/07/2019;False
01483860308;5;01/07/2016;False
01483860308;5;01/07/2017;False
01483860308;5;01/07/2018;False
01483860308;5;01/07/2019;False
01483980304;8;01/07/2016;False
01483980304;8;01/07/2017;False
01483980304;8;01/07/2018;False
01483980304;8;01/07/2019;False
01484180391;7;01/07/2016;False
01484180391;7;01/07/2017;False
01484180391;7;01/07/2018;True
01484180391;6;01/07/2019;True
01484250939;5;01/07/2016;False
01484250939;8;01/07/2017;False
01484250939;8;01/07/2018;False
01484250939;8;01/07/2019;False
01484300932;8;01/07/2016;False
01484300932;7;01/07/2017;False
01484300932;8;01/07/2018;False
01484300932;8;01/07/2019;False
01484770936;5;01/07/2016;False
01484770936;5;01/07/2017;False
01484770936;7;01/07/2018;False
01484770936;6;01/07/2019;False
01484780307;7;01/07/2016;False
01484780307;5;01/07/2017;False
01484780307;8;01/07/2018;False
01484780307;8;01/07/2019;False
01484860935;1;01/07/2016;False
01484860935;1;01/07/2017;False
01484860935;1;01/07/2018;False
01484860935;1;01/07/2019;False
01484870934;6;01/07/2016;False
01484870934;7;01/07/2017;False
01484870934;7;01/07/2018;False
01484870934;7;01/07/2019;False
01484940463;7;01/07/2016;False
01484940463;6;01/07/2017;False
01484940463;7;01/07/2018;False
01484940463;6;01/07/2019;False
01485570442;7;01/07/2016;False
01485570442;7;01/07/2017;False
01485570442;7;01/07/2018;False
01485570442;7;01/07/2019;False
01485720930;5;01/07/2016;False
01485720930;7;01/07/2017;False
01485720930;6;01/07/2018;False
01485720930;6;01/07/2019;False
01485830937;8;01/07/2016;False
01485830937;5;01/07/2017;False
01485830937;6;01/07/2018;False
01485830937;5;01/07/2019;False
01485920936;6;01/07/2016;False
01485920936;6;01/07/2017;False
01485920936;5;01/07/2018;False
01485920936;5;01/07/2019;False
01486240938;8;01/07/2016;False
01486240938;8;01/07/2017;False
01486240938;8;01/07/2018;False
01486240938;8;01/07/2019;False
01486270935;8;01/07/2016;False
01486270935;8;01/07/2017;False
01486270935;8;01/07/2018;False
01486270935;8;01/07/2019;False
01486390337;5;01/07/2016;False
01486390337;6;01/07/2017;False
01486390337;3;01/07/2018;False
01486390337;4;01/07/2019;False
01486560301;6;01/07/2016;False
01486560301;5;01/07/2017;False
01486560301;4;01/07/2018;False
01486560301;5;01/07/2019;False
01486570300;8;01/07/2016;False
01486570300;8;01/07/2017;False
01486570300;5;01/07/2018;False
01486570300;5;01/07/2019;False
01486900937;1;01/07/2016;False
01486900937;1;01/07/2017;False
01486900937;1;01/07/2018;False
01486900937;1;01/07/2019;False
01487450932;8;01/07/2018;False
01487450932;8;01/07/2019;False
01487890939;6;01/07/2016;False
01487890939;5;01/07/2017;False
01487890939;5;01/07/2018;False
01487890939;5;01/07/2019;False
01488270933;1;01/07/2016;False
01488270933;1;01/07/2017;False
01488270933;1;01/07/2018;False
01488270933;1;01/07/2019;False
01488530930;7;01/07/2016;False
01488530930;7;01/07/2017;False
01488530930;8;01/07/2018;False
01488530930;8;01/07/2019;False
01488540939;6;01/07/2016;False
01488540939;6;01/07/2017;False
01488540939;6;01/07/2018;False
01488540939;6;01/07/2019;False
01489040301;6;01/07/2016;False
01489040301;7;01/07/2017;False
01489040301;7;01/07/2018;False
01489040301;8;01/07/2019;False
01489230936;1;01/07/2016;False
01489230936;1;01/07/2017;False
01489230936;1;01/07/2018;False
01489230936;1;01/07/2019;False
01489250306;6;01/07/2016;False
01489250306;6;01/07/2017;False
01489250306;6;01/07/2018;False
01489250306;6;01/07/2019;False
01489590305;5;01/07/2016;False
01489590305;5;01/07/2017;False
01489590305;5;01/07/2018;False
01489590305;5;01/07/2019;False
01489600930;4;01/07/2016;False
01489600930;4;01/07/2017;False
01489600930;4;01/07/2018;False
01489600930;4;01/07/2019;False
01490020300;4;01/07/2016;False
01490020300;4;01/07/2017;False
01490020300;5;01/07/2018;False
01490020300;5;01/07/2019;False
01490230933;1;01/07/2016;False
01490230933;1;01/07/2017;False
01490230933;1;01/07/2018;False
01490230933;1;01/07/2019;False
01490410303;8;01/07/2016;False
01490410303;8;01/07/2017;False
01490410303;8;01/07/2018;False
01490410303;8;01/07/2019;False
01490560933;1;01/07/2016;False
01490560933;1;01/07/2017;False
01490560933;1;01/07/2018;False
01490560933;1;01/07/2019;False
01490610936;6;01/07/2016;False
01490610936;6;01/07/2017;False
01490610936;6;01/07/2018;False
01490610936;6;01/07/2019;False
01490750930;0;01/07/2016;False
01490750930;0;01/07/2017;False
01490750930;0;01/07/2018;False
01490750930;0;01/07/2019;False
01491040935;6;01/07/2016;False
01491040935;7;01/07/2017;False
01491040935;6;01/07/2018;False
01491040935;7;01/07/2019;False
01491070932;8;01/07/2016;False
01491070932;8;01/07/2017;False
01491070932;8;01/07/2018;False
01491070932;8;01/07/2019;False
01491220305;5;01/07/2016;False
01491220305;5;01/07/2017;False
01491220305;6;01/07/2018;False
01491220305;6;01/07/2019;False
01491240303;5;01/07/2016;False
01491240303;5;01/07/2017;False
01491240303;6;01/07/2018;False
01491240303;5;01/07/2019;False
01491260939;4;01/07/2016;False
01491260939;2;01/07/2017;False
01491260939;4;01/07/2018;False
01491260939;2;01/07/2019;False
01491370217;1;01/07/2016;False
01491370217;1;01/07/2017;False
01491370217;1;01/07/2018;False
01491370217;1;01/07/2019;False
01491510937;1;01/07/2016;False
01491510937;1;01/07/2017;False
01491510937;1;01/07/2018;False
01491510937;1;01/07/2019;False
01491590939;4;01/07/2016;False
01491590939;6;01/07/2017;False
01491590939;6;01/07/2018;False
01491590939;6;01/07/2019;False
01491660930;1;01/07/2016;False
01491660930;1;01/07/2017;False
01491660930;1;01/07/2018;False
01491660930;1;01/07/2019;False
01491800932;1;01/07/2016;False
01491800932;1;01/07/2017;False
01491800932;1;01/07/2018;False
01491800932;1;01/07/2019;False
01491910939;7;01/07/2016;False
01491910939;8;01/07/2017;False
01491910939;6;01/07/2018;False
01491910939;6;01/07/2019;False
01492100274;5;01/07/2016;False
01492100274;5;01/07/2017;False
01492100274;5;01/07/2018;False
01492100274;5;01/07/2019;False
01492330939;1;01/07/2016;False
01492330939;1;01/07/2017;False
01492330939;1;01/07/2018;False
01492330939;1;01/07/2019;False
01492350937;6;01/07/2016;False
01492350937;6;01/07/2017;False
01492350937;6;01/07/2018;False
01492350937;6;01/07/2019;False
01492440936;1;01/07/2016;False
01492440936;1;01/07/2017;False
01492440936;1;01/07/2018;False
01492440936;1;01/07/2019;False
01492550932;7;01/07/2016;False
01492550932;7;01/07/2017;False
01492550932;6;01/07/2018;False
01492550932;7;01/07/2019;False
01493310930;6;01/07/2016;False
01493310930;7;01/07/2017;False
01493310930;7;01/07/2018;False
